Id,Category
445,0
446,6
447,6
448,1
449,4
450,0
451,2
452,4
453,0
454,7
455,7
456,7
457,6
458,5
459,0
460,1
461,7
462,7
463,4
464,6
465,3
466,7
467,4
468,6
469,5
470,8
471,1
472,9
473,5
474,3
475,5
476,0
477,0
478,6
479,5
480,5
481,3
482,3
483,2
484,8
485,4
486,8
487,9
488,4
489,9
490,1
491,3
492,6
493,1
494,5
495,9
496,0
497,4
498,4
499,1
500,3
501,3
502,1
503,9
504,0
505,3
506,2
507,6
508,7
509,0
510,1
511,3
512,6
513,9
514,3
515,1
516,3
517,9
518,2
519,6
520,0
521,6
522,3
523,2
524,6
525,2
526,3
527,3
528,4
529,6
530,5
531,7
532,1
533,1
534,5
535,4
536,0
537,1
538,6
539,3
540,5
541,8
542,6
543,3
544,4
545,4
546,0
547,9
548,3
549,5
550,0
551,7
552,3
553,9
554,1
555,8
556,9
557,1
558,6
559,4
560,2
561,7
562,5
563,0
564,1
565,1
566,9
567,0
568,3
569,1
570,3
571,6
572,6
573,4
574,1
575,9
576,6
577,3
578,5
579,1
580,2
581,3
582,8
583,6
584,6
585,5
586,8
587,9
588,1
589,5
590,1
591,4
592,8
593,4
594,5
595,8
596,3
597,0
598,4
599,5
600,4
601,1
602,7
603,6
604,6
605,4
606,6
607,8
608,7
609,0
610,1
611,9
612,6
613,0
614,4
615,4
616,4
617,5
618,6
619,6
620,1
621,9
622,0
623,1
624,4
625,1
626,0
627,8
628,0
629,1
630,6
631,8
632,9
633,8
634,9
635,3
636,3
637,2
638,5
639,1
640,9
641,9
642,3
643,4
644,4
645,1
646,8
647,8
648,3
649,8
650,3
651,3
652,7
653,5
654,4
655,6
656,2
657,4
658,3
659,7
660,5
661,9
662,4
663,0
664,9
665,3
666,4
667,3
668,6
669,5
670,5
671,3
672,1
673,0
674,9
675,3
676,1
677,4
678,9
679,0
680,5
681,0
682,3
683,3
684,9
685,4
686,3
687,6
688,3
689,3
690,4
691,1
692,4
693,0
694,7
695,8
696,2
697,9
698,0
699,1
700,7
701,5
702,7
703,2
704,3
705,6
706,4
707,7
708,1
709,9
710,4
711,3
712,3
713,9
714,3
715,6
716,5
717,7
718,5
719,0
720,7
721,0
722,9
723,8
724,8
725,1
726,9
727,1
728,9
729,1
730,8
731,4
732,4
733,1
734,8
735,9
736,4
737,8
738,6
739,5
740,7
741,4
742,0
743,1
744,7
745,3
746,4
747,0
748,1
749,0
750,2
751,0
752,0
753,5
754,3
755,9
756,4
757,3
758,1
759,9
760,3
761,8
762,1
763,1
764,3
765,4
766,5
767,1
768,8
769,5
770,1
771,1
772,7
773,0
774,3
775,4
776,6
777,9
778,1
779,4
780,1
781,9
782,2
783,0
784,7
785,3
786,6
787,5
788,4
789,7
790,4
791,3
792,0
793,5
794,1
795,0
796,3
797,4
798,2
799,8
800,0
801,9
802,1
803,4
804,5
805,1
806,8
807,7
808,3
809,2
810,6
811,9
812,4
813,8
814,3
815,7
816,7
817,7
818,4
819,6
820,3
821,0
822,0
823,3
824,5
825,6
826,1
827,6
828,3
829,2
830,4
831,7
832,1
833,6
834,1
835,4
836,8
837,5
838,3
839,7
840,5
841,5
842,5
843,4
844,4
845,9
846,4
847,5
848,1
849,0
850,1
851,1
852,3
853,4
854,9
855,7
856,6
857,5
858,1
859,4
860,1
861,3
862,7
863,3
864,8
865,1
866,9
867,0
868,6
869,4
870,7
871,8
872,1
873,5
874,1
875,7
876,7
877,8
878,1
879,0
880,4
881,4
882,3
883,5
884,1
885,1
886,3
887,7
888,5
889,3
890,0
891,2
892,0
893,1
894,3
895,9
896,3
897,4
898,7
899,6
900,1
901,3
902,1
903,5
904,1
905,1
906,6
907,1
908,9
909,9
910,6
911,1
912,6
913,1
914,8
915,1
916,1
917,5
918,1
919,4
920,1
921,1
922,1
923,1
924,1
925,9
926,2
927,7
928,9
929,7
930,6
931,8
932,3
933,5
934,9
935,6
936,5
937,0
938,4
939,1
940,9
941,4
942,4
943,6
944,5
945,5
946,1
947,3
948,2
949,1
950,2
951,4
952,7
953,2
954,7
955,0
956,9
957,8
958,2
959,2
960,3
961,1
962,5
963,1
964,2
965,0
966,7
967,0
968,3
969,0
970,8
971,4
972,7
973,8
974,2
975,4
976,4
977,5
978,0
979,8
980,1
981,5
982,7
983,5
984,0
985,1
986,0
987,4
988,3
989,9
990,8
991,8
992,0
993,1
994,6
995,6
996,0
997,1
998,1
999,5
1000,9
1001,9
1002,3
1003,7
1004,6
1005,7
1006,9
1007,2
1008,5
1009,0
1010,8
1011,1
1012,0
1013,8
1014,9
1015,9
1016,9
1017,8
1018,5
1019,1
1020,1
1021,3
1022,4
1023,2
1024,4
1025,0
1026,8
1027,9
1028,1
1029,1
1030,3
1031,6
1032,0
1033,5
1034,0
1035,9
1036,2
1037,2
1038,1
1039,4
1040,3
1041,2
1042,9
1043,4
1044,7
1045,6
1046,7
1047,9
1048,1
1049,6
1050,3
1051,4
1052,1
1053,5
1054,4
1055,4
1056,3
1057,6
1058,6
1059,5
1060,8
1061,2
1062,8
1063,4
1064,8
1065,7
1066,6
1067,3
1068,4
1069,2
1070,3
1071,8
1072,7
1073,2
1074,5
1075,6
1076,6
1077,3
1078,1
1079,8
1080,0
1081,8
1082,4
1083,9
1084,7
1085,8
1086,6
1087,3
1088,0
1089,4
1090,3
1091,6
1092,4
1093,6
1094,5
1095,2
1096,5
1097,3
1098,6
1099,9
1100,3
1101,8
1102,1
1103,3
1104,2
1105,8
1106,4
1107,8
1108,7
1109,2
1110,3
1111,8
1112,5
1113,6
1114,7
1115,6
1116,7
1117,3
1118,4
1119,8
1120,5
1121,0
1122,8
1123,5
1124,2
1125,8
1126,0
1127,7
1128,6
1129,1
1130,3
1131,8
1132,6
1133,7
1134,0
1135,1
1136,1
1137,2
1138,4
1139,6
1140,5
1141,1
1142,6
1143,6
1144,8
1145,5
1146,3
1147,7
1148,6
1149,1
1150,9
1151,0
1152,8
1153,1
1154,6
1155,5
1156,5
1157,5
1158,0
1159,5
1160,5
1161,8
1162,5
1163,0
1164,5
1165,5
1166,0
1167,6
1168,2
1169,4
1170,9
1171,6
1172,4
1173,6
1174,3
1175,7
1176,4
1177,5
1178,8
1179,4
1180,2
1181,4
1182,2
1183,6
1184,2
1185,2
1186,9
1187,0
1188,3
1189,0
1190,4
1191,0
1192,1
1193,2
1194,5
1195,3
1196,7
1197,1
1198,7
1199,2
1200,4
1201,1
1202,8
1203,3
1204,1
1205,5
1206,5
1207,4
1208,4
1209,5
1210,9
1211,2
1212,3
1213,8
1214,8
1215,5
1216,8
1217,4
1218,8
1219,6
1220,5
1221,4
1222,4
1223,5
1224,3
1225,3
1226,7
1227,5
1228,8
1229,7
1230,6
1231,1
1232,4
1233,6
1234,5
1235,5
1236,6
1237,2
1238,1
1239,1
1240,5
1241,7
1242,0
1243,1
